"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 15 20:11:46 IDT 2023","Tue Aug 15 20:11:48 IDT 2023","2399","All Tests Suite","P4_Restaurants","P1_sanityRestSearch","P1_sanityRestSearch","P2_selectRest","P2_selectRest",""
"passed","Tue Aug 15 20:11:17 IDT 2023","Tue Aug 15 20:11:25 IDT 2023","7313","All Tests Suite","P1_Hotels","P1_sanityHotelSearch","P1_sanityHotelSearch","P5_selectDeal","P5_selectDeal",""
"passed","Tue Aug 15 20:11:32 IDT 2023","Tue Aug 15 20:11:34 IDT 2023","1935","All Tests Suite","P2_ThingsToDo","P1_sanityThingSearch","P1_sanityThingSearch","P1_searchThing","P1_searchThing",""
"passed","Tue Aug 15 20:11:09 IDT 2023","Tue Aug 15 20:11:17 IDT 2023","7904","All Tests Suite","P1_Hotels","P1_sanityHotelSearch","P1_sanityHotelSearch","P4_selectGuests","P4_selectGuests",""
"passed","Tue Aug 15 20:11:36 IDT 2023","Tue Aug 15 20:11:40 IDT 2023","3752","All Tests Suite","P2_ThingsToDo","P1_sanityThingSearch","P1_sanityThingSearch","P3_visitWebsite","P3_visitWebsite",""
"passed","Tue Aug 15 20:11:43 IDT 2023","Tue Aug 15 20:11:46 IDT 2023","2669","All Tests Suite","P4_Restaurants","P1_sanityRestSearch","P1_sanityRestSearch","P1_searchRest","P1_searchRest",""
"passed","Tue Aug 15 20:10:52 IDT 2023","Tue Aug 15 20:10:59 IDT 2023","6781","All Tests Suite","P1_Hotels","P1_sanityHotelSearch","P1_sanityHotelSearch","P1_searchHotel","P1_searchHotel",""
"passed","Tue Aug 15 20:11:48 IDT 2023","Tue Aug 15 20:11:50 IDT 2023","1705","All Tests Suite","P4_Restaurants","P1_sanityRestSearch","P1_sanityRestSearch","P3_visitWebsite","P3_visitWebsite",""
"passed","Tue Aug 15 20:11:05 IDT 2023","Tue Aug 15 20:11:09 IDT 2023","4439","All Tests Suite","P1_Hotels","P1_sanityHotelSearch","P1_sanityHotelSearch","P3_selectDates","P3_selectDates",""
"passed","Tue Aug 15 20:10:59 IDT 2023","Tue Aug 15 20:11:05 IDT 2023","6249","All Tests Suite","P1_Hotels","P1_sanityHotelSearch","P1_sanityHotelSearch","P2_selectHotel","P2_selectHotel",""
"passed","Tue Aug 15 20:11:34 IDT 2023","Tue Aug 15 20:11:36 IDT 2023","2487","All Tests Suite","P2_ThingsToDo","P1_sanityThingSearch","P1_sanityThingSearch","P2_selectThing","P2_selectThing",""
